743551,22000:1, 32000:1,Type 2,2,Null
743552,22000:2,Type 2,2,Megatel
743553,43000:1, 50000:1,CCS;Type 2,2,Petrol
743554,50000:2, 22000:1,CCS;Type 2,3,Petrol
743555,43000:1, 50000:1,CCS;Type 2,2,Petrol
743556,50000:2,CCS,2,Petrol
743557,43000:2, 50000:2,CCS;Type 2,4,Petrol
743558,11000:2,Type 2,2,Megatel
743559,22000:2,Type 2,2,Megatel
743560,9700:2,Type 2,2,Porsche Slovenija
743561,22000:4,Type 2,4,Gremo Na Elektriko
743562,50000:1, 43000:1,CCS;Type 2,2,Petrol
743563,250000:2, 50000:1, 43000:1,CCS;Type 2,4,Null
743564,350000:2, 43000:1, 50000:1,CCS;Type 2,4,Petrol
743565,22000:1,Type 2,1,Megatel
743566,50000:1, 43000:1,CCS;Type 2,2,Petrol
743567,50000:1, 43000:1,CCS;Type 2,2,Petrol
743568,11000:1,Type 2,1,Megatel
743569,22000:2,Type 2,2,Megatel
743570,22000:2,Type 2,2,Petrol
743571,22000:4,Type 2,4,Gremo Na Elektriko
743572,22000:2,Type 2,2,Megatel
743573,22000:2,Type 2,2,Megatel
743574,9700:1, 130000:1,CCS;Type 2,2,Porsche Slovenija
743575,9700:2,Type 2,2,Porsche Slovenija
743576,9000:2,Type 2,2,Megatel
743577,22000:2,Type 2,2,Petrol
743578,22000:2,Type 2,2,Petrol
743579,22000:2,Type 2,2,Petrol
743580,22000:2,Type 2,2,Petrol
743581,250000:8,CCS,8,Tesla Supercharger
743582,22000:2,Type 2,2,Megatel
743583,22000:2,Type 2,2,Gremo Na Elektriko
743584,22000:2,Type 2,2,Megatel
743585,250000:2, 350000:2,CCS,4,Petrol
743586,11000:2,Type 2,2,Petrol
743587,9700:9,Type 2,9,Porsche Slovenija
743588,11000:2,Type 2,2,Gremo Na Elektriko
743589,11000:2,Type 2,2,Gremo Na Elektriko
743590,9700:2,Type 2,2,Porsche Slovenija
743591,9700:2,Type 2,2,Porsche Slovenija
743592,5100:2,Type 2,2,Megatel
743593,11000:1,Type 2,1,illwerke vkw AG
743594,17000:2,Type 2,2,Petrol
743595,17000:2,Type 2,2,Petrol
743596,22000:2,Type 2,2,Gremo Na Elektriko
743597,22000:2,Type 2,2,Petrol
743598,9700:2,Type 2,2,Porsche Slovenija
743599,9700:1,Type 2,1,Porsche Slovenija
743600,50000:1, 22000:1,CCS;Type 2,2,PolnilnePostaje
743601,11000:2,Type 2,2,Gremo Na Elektriko
743602,9700:1,Type 2,1,Porsche Slovenija
743603,22000:2, 50000:4,CCS;Type 2,6,Petrol
743604,22000:2,Type 2,2,Megatel
743605,11000:6,Type 2,6,Megatel
743606,11000:2,Type 2,2,Gremo Na Elektriko
743607,11000:2,Type 2,2,Megatel
743608,11000:2,Type 2,2,Megatel
743609,22000:4,Type 2,4,Megatel
743610,11000:2,Type 2,2,Megatel
743611,22000:3,Type 2,3,Megatel
743612,22000:1,Type 2,1,Megatel
743613,22000:2,Type 2,2,Megatel
743614,22000:2,Type 2,2,Megatel
743615,11000:2,Type 2,2,Megatel
743616,22000:4,Type 2,4,Null
743617,22000:1, 11000:1,Type 2,2,Megatel
743618,22000:1,Type 2,1,Null
743619,11000:2,Type 2,2,Megatel
743620,5500:2,Type 2,2,Petrol
743621,22000:4,Type 2,4,Petrol
743622,22000:2, 11000:2,Type 2,4,Gremo Na Elektriko
743623,30000:2,CCS,2,Megatel
743624,60000:2, 22000:1,CCS;Type 2,3,Megatel
743625,22000:2,Type 2,2,Null
743626,22000:2,Type 2,2,Megatel
743627,22000:2,Type 2,2,Null
743628,22000:2,Type 2,2,Null
743629,11000:1,Type 2,1,Null
743630,22000:2,Type 2,2,Petrol
743631,22000:1,Type 2,1,Null
743632,22000:1,Type 2,1,Megatel
743633,50000:2, 22000:1,CCS;Type 2,3,PolnilnePostaje
743634,22000:4,Type 2,4,Null
743635,11000:4,Type 2,4,Null
743636,22000:1, 50000:1,CCS;Type 2,2,Lidl
743637,25000:1,CCS,1,Lidl
743638,50000:1, 22000:1,CCS;Type 2,2,Lidl
743639,22000:1, 50000:1,CCS;Type 2,2,Lidl
743640,50000:1, 22000:1,CCS;Type 2,2,Lidl
743641,50000:1, 22000:1,CCS;Type 2,2,Lidl
743642,22000:1, 50000:1,CCS;Type 2,2,Lidl
743643,50000:1, 22000:1,CCS;Type 2,2,Lidl
743644,50000:1, 22000:1,CCS;Type 2,2,Lidl
743645,50000:1, 22000:1,CCS;Type 2,2,Lidl
743646,22000:1, 50000:1,CCS;Type 2,2,Lidl
743647,22000:1, 50000:1,CCS;Type 2,2,Lidl
743648,50000:1, 22000:1,CCS;Type 2,2,Lidl
743649,50000:1, 22000:1,CCS;Type 2,2,Lidl
743650,50000:1, 22000:1,CCS;Type 2,2,Lidl
743651,50000:1, 22000:1,CCS;Type 2,2,Lidl
743652,22000:1, 50000:1,CCS;Type 2,2,Lidl
743653,50000:1, 22000:1,CCS;Type 2,2,Lidl
743654,22000:1, 50000:1,CCS;Type 2,2,Lidl
743655,50000:1, 22000:1,CCS;Type 2,2,Lidl
743656,50000:1, 22000:1,CCS;Type 2,2,Lidl
743657,50000:1, 22000:1,CCS;Type 2,2,Lidl
743658,22000:1, 50000:1,CCS;Type 2,2,Lidl
743659,22000:1, 50000:1,CCS;Type 2,2,Lidl
743660,50000:1, 22000:1,CCS;Type 2,2,Lidl
743661,50000:1, 22000:1,CCS;Type 2,2,Lidl
743662,50000:1, 22000:1,CCS;Type 2,2,Lidl
743663,22000:1, 50000:1,CCS;Type 2,2,Lidl
743664,22000:1, 50000:1,CCS;Type 2,2,Lidl
743665,50000:1, 22000:1,CCS;Type 2,2,Lidl
743666,50000:1, 22000:1,CCS;Type 2,2,Lidl
743667,50000:1, 22000:1,CCS;Type 2,2,Lidl
743668,50000:1, 22000:1,CCS;Type 2,2,Lidl
743669,50000:1, 22000:1,CCS;Type 2,2,Lidl
743670,50000:1, 22000:1,CCS;Type 2,2,Lidl
743671,22000:1, 50000:1,CCS;Type 2,2,Lidl
743672,22000:1, 50000:1,CCS;Type 2,2,Lidl
743673,50000:1, 22000:1,CCS;Type 2,2,Lidl
743674,22000:1, 50000:1,CCS;Type 2,2,Lidl
743675,22000:1, 50000:1,CCS;Type 2,2,Lidl
743676,50000:1, 22000:1,CCS;Type 2,2,Lidl
743677,50000:1, 22000:1,CCS;Type 2,2,Lidl
743678,22000:1, 50000:1,CCS;Type 2,2,Lidl
743679,50000:1, 22000:1,CCS;Type 2,2,Lidl
743680,50000:1, 22000:1,CCS;Type 2,2,Lidl
743681,250000:4,CCS,4,Tesla Supercharger
743682,22000:2,Type 2,2,Megatel
743683,30000:2,CCS,2,Megatel
743684,50000:1, 22000:1,CCS;Type 2,2,Lidl
743685,25000:1,CCS,1,Lidl
743686,50000:1, 22000:1,CCS;Type 2,2,Lidl
743687,25000:1,CCS,1,Lidl
743688,50000:1, 22000:1,CCS;Type 2,2,Lidl
743689,50000:1, 43000:1,CCS;Type 2,2,Mol Plugee
743690,43000:2, 50000:2,CCS;Type 2,4,Mol Plugee
743691,50000:1, 43000:1,CCS;Type 2,2,Mol Plugee
743692,43000:1, 50000:1,CCS;Type 2,2,Mol Plugee
743693,43000:1, 50000:1,CCS;Type 2,2,Mol Plugee
743694,43000:1, 50000:1,CCS;Type 2,2,Mol Plugee
743695,43000:1, 50000:1,CCS;Type 2,2,Mol Plugee
743696,43000:1, 50000:1,CCS;Type 2,2,Mol Plugee
743697,43000:1, 50000:1, 175000:1,CCS;Type 2,3,Mol Plugee
743698,43000:1, 50000:1,CCS;Type 2,2,Mol Plugee
743699,43000:1, 50000:1,CCS;Type 2,2,Mol Plugee
743700,250000:8,CCS,8,Tesla Supercharger
743701,22000:2,Type 2,2,Gremo Na Elektriko
743702,22000:4,Type 2,4,Megatel
743703,22000:7, 50000:1,CCS;Type 2,8,Megatel
743704,22000:1, 50000:1,CCS;Type 2,2,Megatel
743705,22000:4,Type 2,4,Megatel
743706,22000:2,Type 2,2,Megatel
743707,11000:2,Type 2,2,Megatel
743708,22000:4,Type 2,4,Megatel
743709,22000:2,Type 2,2,Megatel
743710,22000:1, 50000:1,CCS;Type 2,2,Megatel
743711,22000:4,Type 2,4,Megatel
743712,22000:2,Type 2,2,Megatel
743713,22000:4,Type 2,4,Megatel
743714,22000:1,Type 2,1,Megatel
743715,22000:1,Type 2,1,Gremo Na Elektriko
743716,17000:1,Type 2,1,Megatel
743717,11000:2,Type 2,2,Megatel
743718,190000:2,CCS,2,Porsche Slovenija
743719,22000:4,Type 2,4,Megatel
743720,50000:1, 22000:1,CCS;Type 2,2,Lidl
743721,22000:4,Type 2,4,Gremo Na Elektriko
743722,11000:1,Type 2,1,Gremo Na Elektriko
743723,22000:1,Type 2,1,Megatel
743724,160000:2,CCS,2,Megatel
743725,150000:1, 75000:1,CCS,2,MOON POWER GmbH
743726,250000:10,CCS,10,Tesla Supercharger
743727,22000:10,Type 2,10,Petrol
743728,22000:4,Type 2,4,Thermalhotel Fontana Hotelbetriebsgesellschaft mbH
743729,22000:2,Type 2,2,Megatel
743730,11000:2,Type 2,2,Megatel
743731,22000:2,Type 2,2,Megatel
743732,11000:2,Type 2,2,Petrol
743733,9700:2,Type 2,2,Porsche Slovenija
743734,22000:2,Type 2,2,Gremo Na Elektriko
743735,22000:1,Type 2,1,Megatel
743736,22000:6, 150000:2,CCS;Type 2,8,Petrol
743737,22000:2,Type 2,2,Gremo Na Elektriko
743738,11000:1,Type 2,1,BMW Charging @Destination
743739,11000:2,Type 2,2,BMW Charging @Destination
743740,11000:2,Type 2,2,BMW Charging @Destination
743741,11000:2,Type 2,2,BMW Charging @Destination
743742,11000:1,Type 2,1,BMW Charging @Destination
743743,11000:1,Type 2,1,BMW Charging @Destination
743744,11000:2,Type 2,2,BMW Charging @Destination
743745,22000:2,Type 2,2,Gremo Na Elektriko
743746,9700:2,Type 2,2,Porsche Slovenija
743747,9700:2,Type 2,2,Porsche Slovenija
743748,9700:2,Type 2,2,Porsche Slovenija
743749,9700:2,Type 2,2,Porsche Slovenija
743750,11000:2,Type 2,2,Gremo Na Elektriko
743751,22000:2,Type 2,2,Petrol
743752,9700:2,Type 2,2,Porsche Slovenija
